                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5246,                 2.6489,                 1.2222,                0.50148,                0.59636,                0.59697,                0.41877,                 1.1453,                  1.741,                 1.0073,              0.0002036,              0.0002036,              0.0002036
                      1,                 1.1865,                 1.1225,                 1.0483,                0.78041,                 0.8095,                0.85912,                0.61742,                 1.1096,                  1.058,                 1.0376,             0.00040378,             0.00040378,             0.00040378
                      2,                 1.1393,                0.90987,                 1.0495,                0.87877,                0.86307,                0.92091,                0.66489,                 1.0807,                0.97043,                  1.028,              0.0005957,              0.0005957,              0.0005957
                      3,                 1.1101,                0.79392,                 1.0496,                0.90776,                0.87846,                0.93626,                0.67249,                 1.1198,                0.95208,                 1.0768,             0.00058787,             0.00058787,             0.00058787
                      4,                 1.1464,                0.75657,                  1.058,                0.90717,                0.88318,                0.94576,                0.70433,                 1.0733,                0.90674,                 1.0483,             0.00058787,             0.00058787,             0.00058787
                      5,                 1.0671,                0.71085,                 1.0266,                0.91636,                0.86075,                0.94703,                0.69723,                 1.0676,                0.89183,                 1.0402,              0.0005755,              0.0005755,              0.0005755
                      6,                 1.0358,                0.65561,                  1.021,                0.89258,                0.90902,                0.95172,                0.68895,                 1.0759,                0.75715,                 1.0183,             0.00056313,             0.00056313,             0.00056313
                      7,                 1.0322,                0.63161,                 1.0184,                0.95179,                0.89249,                  0.962,                0.72152,                 1.0857,                0.77039,                 1.0471,             0.00055075,             0.00055075,             0.00055075
                      8,                0.98577,                0.58422,                0.99814,                0.91095,                0.91117,                0.95305,                0.70004,                 1.0886,                 0.9373,                 1.0644,             0.00053838,             0.00053838,             0.00053838
                      9,                0.99389,                 0.5855,                 1.0031,                  0.954,                0.90292,                0.96358,                0.72893,                  1.015,                0.81462,                 1.0259,               0.000526,               0.000526,               0.000526
                     10,                0.97448,                0.57291,                0.98868,                0.95053,                0.90703,                0.96574,                0.70803,                 1.0334,                0.75471,                  1.019,             0.00051363,             0.00051363,             0.00051363
                     11,                0.92956,                0.62534,                0.95843,                0.93683,                0.90516,                 0.9612,                0.72575,                 1.0093,                0.87445,                 1.0384,             0.00050125,             0.00050125,             0.00050125
                     12,                0.93656,                 0.5375,                0.97542,                0.93555,                0.92385,                0.96806,                0.72887,                0.99946,                0.74916,                 1.0158,             0.00048888,             0.00048888,             0.00048888
                     13,                0.91887,                0.52265,                0.97251,                 0.9454,                0.93455,                0.95903,                 0.7233,                 1.0345,                0.72886,                 1.0252,              0.0004765,              0.0004765,              0.0004765
                     14,                0.93178,                0.52488,                0.97927,                0.94167,                0.92296,                0.95768,                 0.7301,                 0.9826,                0.67019,                 1.0171,             0.00046413,             0.00046413,             0.00046413
                     15,                 0.8947,                0.50258,                0.96027,                0.94081,                0.93319,                0.96174,                0.73262,                 1.0056,                0.65236,                 1.0207,             0.00045175,             0.00045175,             0.00045175
                     16,                0.91622,                0.49845,                0.96826,                0.95602,                0.91348,                0.96771,                0.72618,                 1.0253,                0.64679,                 1.0223,             0.00043937,             0.00043937,             0.00043937
                     17,                0.89515,                 0.4839,                 0.9594,                0.95031,                0.91794,                0.96306,                0.73893,                0.97469,                0.60758,                 1.0271,               0.000427,               0.000427,               0.000427
                     18,                0.89986,                0.48984,                0.96126,                0.96326,                 0.9265,                0.96683,                0.71826,                 1.0449,                0.71871,                  1.026,             0.00041462,             0.00041462,             0.00041462
                     19,                0.88922,                0.48369,                0.95493,                0.93424,                0.90665,                0.96363,                0.73028,                0.96239,                0.72263,                 1.0078,             0.00040225,             0.00040225,             0.00040225
                     20,                0.87941,                 0.4914,                0.96059,                0.94929,                0.93112,                0.96363,                0.74027,                0.97805,                0.64572,                 1.0051,             0.00038988,             0.00038988,             0.00038988
                     21,                0.88264,                0.48319,                0.95532,                0.95329,                0.93636,                0.97189,                0.74807,                 0.9724,                0.62818,                 1.0094,              0.0003775,              0.0003775,              0.0003775
                     22,                0.84903,                0.46911,                0.94589,                0.95935,                0.92125,                0.96573,                0.72966,                 1.0481,                0.62963,                 1.0368,             0.00036513,             0.00036513,             0.00036513
                     23,                 0.8403,                0.45667,                0.94375,                0.95548,                0.93138,                0.96564,                0.74518,                0.94677,                 0.7195,                0.99676,             0.00035275,             0.00035275,             0.00035275
                     24,                0.84644,                0.51417,                0.94902,                0.92886,                0.91536,                0.96533,                0.73743,                0.99725,                0.73881,                 1.0228,             0.00034038,             0.00034038,             0.00034038
                     25,                0.83576,                0.44827,                0.94222,                0.93672,                0.93351,                0.96701,                0.74431,                0.98393,                0.70824,                  1.014,               0.000328,               0.000328,               0.000328
                     26,                0.84721,                0.45559,                 0.9435,                0.96463,                0.94822,                 0.9716,                0.74754,                0.95878,                0.66002,                 1.0015,             0.00031562,             0.00031562,             0.00031562
                     27,                0.82881,                0.44023,                0.93796,                0.96426,                0.92474,                0.96773,                0.73528,                 1.0027,                0.69437,                 1.0227,             0.00030325,             0.00030325,             0.00030325
                     28,                0.81033,                0.43536,                0.93154,                0.93379,                0.94132,                0.96777,                0.74128,                0.99203,                 0.6395,                 1.0151,             0.00029088,             0.00029088,             0.00029088
                     29,                0.80462,                0.42306,                0.92791,                 0.9574,                0.94062,                0.97142,                0.74582,                0.99766,                 0.6231,                 1.0209,              0.0002785,              0.0002785,              0.0002785
                     30,                0.81045,                0.42671,                0.92731,                0.97148,                0.92434,                0.97194,                0.74993,                0.96004,                0.63551,                  1.007,             0.00026613,             0.00026613,             0.00026613
                     31,                0.81105,                0.43017,                0.93795,                0.95863,                0.92988,                0.97188,                0.74887,                0.97727,                0.64489,                 1.0187,             0.00025375,             0.00025375,             0.00025375
                     32,                0.80631,                0.42953,                0.92695,                 0.9601,                0.92768,                0.96936,                0.74044,                0.98664,                0.66332,                 1.0106,             0.00024137,             0.00024137,             0.00024137
                     33,                0.78686,                0.41693,                 0.9245,                0.95793,                0.93888,                0.96784,                0.75039,                0.96221,                0.59012,                 1.0016,               0.000229,               0.000229,               0.000229
                     34,                0.77844,                0.40022,                0.92953,                 0.9583,                0.94136,                0.97429,                0.75825,                0.95426,                0.58053,                 0.9926,             0.00021662,             0.00021662,             0.00021662
                     35,                0.78257,                0.40067,                0.92659,                0.95664,                0.93354,                 0.9714,                0.75513,                0.97295,                0.60313,                 1.0077,             0.00020425,             0.00020425,             0.00020425
                     36,                0.76235,                0.39998,                0.91361,                0.94706,                0.94339,                0.97377,                0.75053,                0.98371,                0.61165,                  1.012,             0.00019188,             0.00019188,             0.00019188
                     37,                0.75867,                0.39233,                0.91954,                0.94922,                0.94066,                0.97095,                0.75102,                0.98398,                0.61812,                 1.0063,              0.0001795,              0.0001795,              0.0001795
